MandiExpress,Jehanzeb Chaudhri ,Male,E-commerce,Q1,2020,Lakson Investments Venture Capital (LIVC),Local Investor (VC),,Pre-Series A,"715,000",Associated,Active
Screen-IT,"Hamza Malik, Uzair Ali, Ahmed Arif, Hassan Fazal, Hamid Raza",Male,MarTech/Marketing,Q1,2020,Coeus Solutions,International Investor (Angel),,Seed,"250,000",Associated,Active
Eat Mubarak ,"Syed Sair Ali, Mohammad Yusuf Jan",Male,E-commerce,Q1,2020,Unnamed Private Saudi Investors,International Investor (Angel),,Pre-Series A,Undisclosed ,Not Associated,Active
Dawaai,Furquan Kidwai,Male,HealthTech/Health,Q1,2020,Sarmayacar ,Local Investor (VC),"Kingsway Capital, Mentors Fund",Pre-Series A,Undisclosed,Not Associated,Active
Tapmad,Yasir Pasha,Male,Entertainment,Q2,2020,MBC Group,International Investor (Other),Daman investments.,Undisclosed,"4,000,000",Not Associated,Active
Baby Planet,Irfan Ahmed,Male,E-commerce,Q2,2020,High Output Ventures,Local Investor (VC),Karavan ,Seed,"250,000",Associated,Active
Tapmad,Yasir Pasha,Male,Entertainment,Q2,2020,MBC Group,International Investor (Other),Daman investments,Series A,"4,000,000",None,Active
GrocerApp,"Ahmed Saeed, Hasan Sidique, Rai Bilal",Male,E-commerce,Q2,2020,Jabbar Internet,Local Investor (VC),Karavan ,Pre-Series A,"1,000,000",Associated,Active
Tajir,"Babar Khan, Ismail Khan",Male,E-commerce,Q2,2020,Fatima Gobi Ventures,Local Investor (VC),"Venture Souq, Karavan, Pioneer Fund, Golden Gate, Matt Caspari ",Seed,"1,800,000",Associated,Active
Bazaar ,"Saad Jangda, Hamza Jawaid",Male,E-commerce,Q2,2020,Indus Valley Capital,Local Investor (VC),Alter Global,Pre-Seed,"1,300,000",Associated,Active
Roomy,Asad Samar,Male,Travel/Tourism/Hospitality,Q2,2020,"Lakson Investments Venture Capital (LIVC), Walled CIty",Local Investor (VC),Karavan ,Pre-Series A,"1,000,000",Not Associated,Active
PriceOye,"Adeel Shaffi, Adnan Shaffi, Awais Imran",Male,E-commerce,Q3,2020,SOSV,International Investor (VC),,Pre-Series A,Undisclosed ,Not Associated,Active
Airlift Technologies,"Usman Gul, Ahmed Ayub, Meher Farrukh",Mixed-Gender Founding Team,Transportation/Mobility,Q3,2020,Quiet Capital,International Investor (VC),"TrueSight Ventures, RT Ventures, Shorooq Partners, ACE Capital, First Round Capital, Fatima Gobi Ventures, Indus Valley Capital ",Series A,"10,000,000",Not Associated,Active
Byte,Safee Shah,Male,E-commerce,Q3,2020,Y Combinator,Accelerator(s)/Incubator(s),,Seed,"150,000",Associated,Active
AimFit,"Mahlaqa Shaukat, Noor Shaukat",Female,Fashion/Lifestyle/Fitness,Q3,2020,Indus Valley Capital,Local Investor (VC),Angel Investors,Seed,"1,000,000",Not Associated,Active
SafePay,Ziyad Parekh and Raza Naqvi,Male,Fintech/Finance,Q3,2020,Y Combinator,Accelerator(s)/Incubator(s),,Seed,"150,000",Associated,Active
Emeds.pk ,"Farees Shah, Muneeb Maayr ",Male,HealthTech/Health,Q3,2020,VM Interactive,International Investor (VC),,Seed,"250,000",Not Associated,Active
PostEx.pk,Omer Khan and Saad Mahmood,Male,Fintech/Finance,Q3,2020,Farhan Abbas Sheikh,Local Investor (Angel),,Pre-Seed,Undisclosed,Not Associated,Active
Ricult,Usman Javaid,Male,AgriTech/Agriculture,Q3,2020,"Bualuang Ventures Company Limited, Krungsri Finnovate Company Limited,",International Investor (VC),,Pre-Series A,"2,000,000",Associated,Active
Healthwire,"Hamza Iqbal, Haris Durani ",Male,HealthTech/Health,Q3,2020,47 Ventures,Local Investor (VC),,Pre-Seed,"720,000",UnkNot Associatedwn,Active
Bykea,Muneeb Maayr,Male,Transportation/Mobility,Q3,2020,Prosus Ventures,International Investor (VC),,Series B,"13,000,000",Associated,Active
Conatural,"Myra Qureshi, Rema Taseer",Female,E-commerce,Q3,2020,Karavan ,Local Investor (VC),,Pre-Series A,"800,000",Not Associated,Active
MedznMore,Asad Khan and Saad Khawar,Male,HealthTech/Health,Q4,2020,Undisclosed ,International Investor (VC),Undisclosed,Seed,"2,600,000",Not Associated,Active
Clicky.pk,Muhammad Khalid & Syed Shahzad,Male,Fashion/Lifestyle,Q4,2020,Xiaomi,International Investor (Other),Angel Investors,Pre-Series A,"700,000",Not Associated,Active
Bagallery,Mina Salman and Salman,Mixed-Gender Founding Team,Fashion/Lifestyle,Q4,2020,Lakson Investments Venture Capital (LIVC),Local Investor (VC),,Pre-Series A,"900,000",Not Associated,Active
Queno,"Muhammad Zubair, Farida Kanwal ",Mixed-Gender Founding Team,EdTech/Education,Q4,2020,Oman Tech Fund,International Investor (VC),,Seed,"100,000",Associated,Active
SafePay,Ziyad Parekh and Raza Naqvi,Male,Fintech/Finance,Q4,2020,Fatima Gobi Ventures,Local Investor (VC),,Seed,Undisclosed,Associated,Active
FMA (FindMyAdventure),Muhammad Komail,Male,Travel/Tourism/Hospitality,Q4,2020,Undisclosed ,International Investor (Angel),,Pre-Series A,"600,000",Associated,Active
Integration Xperts,Umair Azam,Male,SAAS/Cloud Computing,Q4,2020,Atlas Corp,International Investor (Other),,Undisclosed,"1,000,000",None,Active
RetailO,"Talha Ansari, Muhammad Nowkhaiz, and Wahaj Ahmed",Male,E-commerce,Q4,2020,Shorooq Partner,International Investor (VC),"500 Durian, 92 Ventures and angel investors",Pre-Seed,"2,300,000",Not Associated,Active
Finja,"Monis Rahman, Qasif Shahid, Umer Munawar",Male,Fintech/Finance,Q4,2020,ICU Ventures,International Investor (VC),"BeeNext, Vostok Emerging Finance, Quona Capital, and Gray MacKenzie Engineering Services",Seed,"9,000,000",Not Associated,Active
Finja,"Monis Rahman, Qasif Shahid, Umer Munawar",Male,Fintech/Finance,Q4,2020,ICU Ventures,International Investor (VC),"BeeNext, Vostok Emerging Finance, Quona Capital, and Gray MacKenzie Engineering Services",Seed,"9,000,000",None,Active
